text,title,url
"Hvor kort er Tiden med de røde Kinder:
hvor hurtig dog de klare Øjne slukkes,
hvor snarlig flytter Livet ind blandt Minder,
ved hvilke vore matte Øjne dugges.


Med Vemod vi os over Graven bøjer,
hvor Ungdomstiden sover Dødens Slummer;
man mærker Dødens Nærhed og forstummer,
imedens Tungsind sig til Vemod føjer.


Den Dans, man danser uden Træthed,
imedens Ungdoms lyse Elskov fødes,
og Hjertet stærkt af Haab og Længsel glødes,
imedens Brystet aander højt med Lethed,


og Livet, hvori alle Pulse banker,
som synger højt i Ungdoms Glans og Glæde
— det er et Paradis vi maa begræde,
fordi vi bøjet udenfor det vanker.


Og dog — mens Livet dør i gamle Stammer,
man glædes ved et Liv, der er i Vorden;
en Ungdom fødes atter her paa Jorden,
og evigt Liv i nye Slægter flammer.

",Edvard Egeberg: »Hvor kort er Tiden —« fra Min Dreng (1898),https://kalliope.org/da/text/egeberg2019080619
"Husbond, Husbond, stands dit Kiv,
er du fra dig selv, Mand!
Er jeg end din Ægteviv
er jeg ej din Træl, Mand.
„ikkun én befale kan —
      Nancy, Nancy;
bør da Kvinde eller Mand?
      Svar mig, Nancy.""


Fordrer mere du af mig
Lydighed og Træl’sind,
løber jeg, ved Gud, min Vej,
saa Farvel, min Dril’pind!
„Nu bedrøver du din Ven,
      Nancy, Nancy,
skjønt jeg fandt vel én igjen,
      søde Nancy!""


O, om Hjærtet, saa forsagt,
brast ved hvad du spaar mig!
Har du mig i Graven lagt,
prøv hvordan det gaar dig!
„Aa ved flittig Bøn og Tro,
      Nancy, Nancy,
falder Sindet nok til Ro,
      søde Nancy!""


Hjemme faar du ingen Fred,
der skal blive Fest dér!
Helveds Hær fra Gravens Bred
byder jeg til Gjæst dér!
„Ta’r jeg atter én som dig,
      Nancy, Nancy,
flygter Fanden selv sin Vej,
      søde Nancy!""

",Jeppe Aakjær: “Nancy” from Fri Felt (1905),https://kalliope.org/en/text/aakjaer20000924b31
"Han vandred ud i Verden vid,
den unge Kongesøn;
en gammel Kvinde mødte ham
alt i den Skov saa grøn.


„Og hør, Du unge Kongesøn,
jeg gør Dig til en Hund,
hvis ej Du uden Tøven vil
mig kysse paa min Mund.”


Han mærked hendes Trylleblik
og ævned ej at fly.
Saa kyssed han den gamle Viv,
og Verden var ham ny.


„Se paa mig, unge Kongesøn,
jeg er ej træg og tung;
jeg gammel er som Bjærg og Skov,
og er dog evig ung.”


O, Rosenkinder, natblaa Blik.
o, skønne Gyldenhaar,
o, Mund af søde Sange fuld,
vidunderlige Vaar!


I Krattet leged Solens Guld,
to Duer kurred dèr.
Den Kongesøn beruset sank
Naturens Hjærte nær.

",Hans Henriksen: »Skovens Æventyr« fra Romantiske Digte (1918),https://kalliope.org/da/text/henriksen2019072114
"Jeg mindes tydelig, jeg stod som lille
paa vor Altan en Sommeraften silde.
Det var ved Kirkegaarden, hvor vi boede,
hvor dengang Stadens sidste Huse stode.


Foran mig laa med Tusinder af Grave
i Maaneskin den store Dødens Have,
et Hav af Tuer, Kors og Ligsten hvide.
— Min gamle Bedstefa’er stod ved min Side.


Vinter og Sommer daglig fra vor Stue
jeg havde sorgløst nydt det samme Skue.
Naar Solen skinned, var jeg ikke bange.
Jeg havde leget der saa mange Gange.


Men nu i Maanskin jeg tilbagegyste.
Det var, som om de hvide Ligsten lyste.
Med Dødens Rædsel slog det mig imøde:
Hvad om de rejste sig, de mange Døde?


Min Bedstefader holdt mig fast i Haanden.
Han vilde hærde mig og løfte Aanden.
Han talte til mig, lille Pog, saa meget;
jeg mærked, han var underlig bevæget.


«Vær ikke bange, Dreng, sé kjækt derover!
Saa fast en Søvn i Verden Ingen sover
som Liget indsvøbt i det hvide Lagen.
Den Søvn, den varer ved til Dommedagen.


Kun dér er Fred, dér er vi Alle lige,
Høje og Lave, Fattige og Rige.
Der hjælper ingen Stand og ingen Alder.
Vi maa afsted herfra, naar Døden kalder.


Fra Støv vi kom, til Støv vi skulle blive,
men Gud vil atter vække os til Live.
Engang naar Domsbasunens Toner klinger,
da brister Gravene, da faar vi Vinger.»


En Rædsel gik mig gjennem Barnesjælen.
Det isned mig fra Issen ned til Hælen.
Det var, som slog en Ligluft mig i Møde,
som rejste sig af Gravene de Døde.


Og Maanen skjulte sig bag Stammer sorte,
saa gled den frem, saa blev den atter borte.
Det var, som Skygger underlige lange
sig rørte ovre i de tavse Gange.

",Hans Vilhelm Kaalund: “Kirkegaarden” from Efterladte Digte (1885),https://kalliope.org/en/text/kaalund2018060432
"Riig var vor Glæde, let paa Skjæbnens Bølge
Gynged vi trøstigt, selv hvor Skjær sig dølge,
Holdt vi kun helligt Livets gyldne Smykke:
            Kjærligheds Lykke!


Tusind af Blomster pryde Jordens Have,
Fristende skjønne, hver en himmelsk Gave.
Ingen blandt Alle sætter dog i Skygge
            Kjærligheds Lykke!


Freidige Ungdom, Dig har Eros kaaren,
Skatten den rige hæves kun i Vaaren,
Før Livets Mismod køler med sin Harme
            Hjerternes Varme.


Maatte de Blikke, som nu straaler ømme,
Fulde af Haabets lykkeligste Drømme,
Aldrig formørkes, smile med en Flamme,
            Altid den Samme!

",Ludvig Bødtcher: »Bryllupsdigt« fra Samlede Digte (1940),https://kalliope.org/da/text/boedtcher2003010332
"            Frisk er din Kind,
      din Holdning rank,
elastisk hvert et Skridt, Du gaar;
            din Hud er blank,
            lyst er dit Sind,
og lyse dine gyldne Haar;
Du staar dér i en blommet Kjol,
saa smuk, det la’er sier sitre,
som kom Du fra den kære Sol,
      ja lukt fra Himmerige:
            Septemberluft, Septembersol,
            Septemberdagens Pige!


            En Engel? — nej,
            aa Gudskelov:
et Væsen uden Livsbegær
            og Livsbehov,
            det er Du ej —
men Du er næsten englekær!
Jeg ser Dig dér i blommet Kjol,
og jeg kan bare sige:
Du er mig som den kære Sol
      fra selve Himmerige —
            Septemberluft, Septembersol,
            Septemberdagens Pige!

",Holger Drachmann: »Septemberdagens Pige« fra Unge Viser (1892),https://kalliope.org/da/text/drachmann2000110146k
"Veninde, luk Verandadøren op! Lad Solen skinne,
den varme Sol, Guds Sol, den gode, milde Foraarssol!
Aa Herregud, Veninde, kom! Her fandt jeg en Viol!
Og endnu en og endnu en; saa kom dog ud, Veninde!


Og Crocus, Crocus finder jeg og her en Oljebille,
en drægtig Hun, som blaa og blank fra Løvet kravler op.
Og hvad er det? Aa hør! Aa se! I Lindens nøgne Top!
Et Stærepar! En Han og Hun, som fløjter deres Trille.


Og mærker du den muldne Lugt i alle Havens Gange?
Veninde, kom! Nu vil vi gaa en rigtig Foraarstur
i Pløjejord, i muldent Løv, i grødetung Natur —
Tag dine tykke Støvler paa og jeg vil ta’ de lange!


Saa skal vi gaa os rigtig dejlig træt i Mark og Skove;
og Vaarens friske Rødme skal vi fange paa vor Kind;
og vende hjem i Aften ved de første Stjerners Skin —
og saa i Seng! Aa Gud, min søde Ven, hvor vi skal sove!


Men luk Verandadøren op, Veninde, Solen skinner.
Dens Straaler varmer i min Sjæl, jeg blir saa glad derved.
Jeg blir saa sært vemodig glad og hjertevarm derved
og tænker paa min Lykkes første Kys paa dine Kinder.

",Ludvig Holstein: “Foraar” from Digte (1895),https://kalliope.org/en/text/holstein2017110113
"At Danmark er et lidet Land,
        Saatidt man declamerer;
Men let den Sag bevises kan,
        At man os kun fixerer!
Lad Overfladen dem paa Kort
        Beregne nok saa nöie,
Vi vil dog helst beregne Vort
        I Dybden og det Höie.


Hvad gaaer os an, om nok saa langt
        Sig strækker ud et Rige?
Naar det iövrigt dog er trangt,
        Saa vil det lidet sige!
Naar Veiret ei kan drages frit,
        Saa smager Vinen ikke!
Og see! hvordan jeg drager mit,
        Og hvordan jeg kan drikke!


Dog, Brödre! lad os heller dem
        Den megen Storhed skiænke!
Hver kan jo, naar han kommer hiem,
        Det hos sig selv betænke!
Thi störst det er at være klog,
        Og klogest at gi’e efter,
Saa blive vi de störste dog,
        Var vi end mindst i Kræfter.


Men er det stort, at Folk og Drot
        Ei Plads har i eet Rige,
Er i det mindste det ei godt,
        Det kan som Dansk jeg sige.
Langt större dog, naar Drotten kan, —
        Som her — med Sandhed sige:
Jeg har hos hver en ædel Mand
        Erobret mig et Rige!


Kong Fredrik! lad den danske Mand
        Sin Tak til Dig frembære!
Var Danmark end et mindre Land —
        Her er det godt at være!
Ved hvert et helligt Baand, som brast
        I andre, större Riger, —
Ved Bog, ved Sværd, ved höien Mast
        Din Lov til Himlen stiger.

",Just Mathias Thiele: »Sang i den ny Forening« fra Vragstykker af et Digterskib (1848),https://kalliope.org/da/text/thiele2017121497
"Jorden sover,
Natten dækker over
Med sin Vinge graa;
Himlen funkler,
Ingen Sky fordunkler
Stjerneglandsen paa det mørke Blaa.


Sov i Taagen
Tause Jord! min Sjel er vaagen,
Hører Aanders Kald.
Stiig fra Dalen
Op mod Himmelsalen
Med din Sang, Du de Henfarnes Skjald!


Løft dit Øje!
Seer Du i det Høje
Hist en Skygge gaae?
I det Fjerne
Let fra Stjerne og til Stjerne
Farer den i det dybe Blaa.


Denne Skygge —
Det er Danmarks Tygge,
Stjerneborgens Drot;
Dybt begravet
Under Gruus i Havet
Ligger Tygge Brahes Himmelslot.


Her ilive
Ej ved Jorden kunde blive,
Hvad fra Himlen kom;
Hisset oppe
Over alle Skyers Toppe
Foer dit Øje med din Længsel om.


Naar til Hvile
Solen monne ile,
Og paa trætte Jord
Aftenrøden
Lulled ind til Slummerdøden
Alt, hvad under Himlen boer:


Da var Morgen
Paa Uranieborgen,
Aftenstjernen var din Sol;
Gjennem Taagen
Svæved Du vaagen,
Foer i Skyen mellem Pol og Pol;


Foer, og stirred
Paa den Solehær, som dirred
Vidt i Rummet ud;
Saae, og svimled
Ved det Viisdoms Dyb, som vrimled
Fuldt af Liv paa Almagts Bud.


Nat forsvunden,
Morgensol oprunden
Paa det klare Blaa;
Himlens Gaader
Løser Du, og raader
Nattens Runer, Du i Skyen saae.


Højt for Jorden
Du forkynder Himlens Orden —
Skabermagtens Bud;
Verdens Vise
Lytte til din Røst, og prise
Alle Verdners evighøje Gud.


Dog beskrænker
Sjelens Slør den kjekke Tænker;
Mat kun er det Lys, Du skimter her.
Evigheden
Spreder først den Taagesky herneden
Med sit lyse Morgenskjær.


Nu forvunden
Er din Nat, og nu oprunden
Dig et evigt Morgenblaa;
Klart Du skuer
Gjennem alle hine Buer,
Hvad som i et Spejl kun her Du saae.


Du, som ikke
Nedad vendte dine Blikke,
Men fra Jorden op mod Himlen saae;
Intet Minde
Kan jeg her paa Jorden finde
For din Aand, som boer i Himlen blaa.


Lille Stjerne,
Som fra dunkle Fjerne
Glimter i det store Æterhav,
Du skal bære
Brahes Navn, og være
Brahes Minde over Død og Grav!

",Steen Steensen Blicher: »Tygge Brahe« fra Digte (1847),https://kalliope.org/da/text/blicher2003091560
"Din Ro er som en Olie, der stiller
min Tankes Bølger over Drømmens Dyb;
men ogsaa ned i Hjertets Flammer triller
dens Draaber, æggende det vilde Kryb.


En hellig Olie det er, — en Fredens,
skabt til at salve Lykkens Gyldenhaar; —
bevar den dertil, — spild den ei, imedens
vort Liv er halvt, og Striden forestaar.

",Karl Gjellerup: “Din Ro —” from Min Kjærligheds Bog (1889),https://kalliope.org/en/text/gjellerup2017120118
